City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
8,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
9,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
28,Atuona,PF,76.89,clear sky,-9.8,-139.0333,Villa Enata
29,Kavieng,PG,85.57,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Hithadhoo,MV,80.51,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Pachperwa,IN,79.05,clear sky,27.5167,82.65,Manglam mairrage lawn
43,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
47,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Tual,ID,84.07,broken clouds,-5.6667,132.75,Grand Vilia Hotel
52,Naze,JP,77.92,clear sky,28.3667,129.4833,Shishime Hotel
53,Gizo,SB,84.9,broken clouds,-8.103,156.8419,Imagination Island
59,Vanimo,PG,84.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
63,Butaritari,KI,82.4,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
70,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
71,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
78,Atambua,ID,84.96,overcast clouds,-9.1061,124.8925,Ros Muskanan
82,Muscat,OM,82.42,scattered clouds,23.6139,58.5922,Mutrah Hotel
94,Hosakote,IN,80.17,scattered clouds,14.2769,77.1699,AVN lodge
101,Kokopo,PG,86.76,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
102,Ponta Do Sol,PT,75.0,moderate rain,32.6667,-17.1,Hotel do Campo
103,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
104,Trairi,BR,78.15,scattered clouds,-3.2778,-39.2689,janelas do mar
106,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
109,Marawi,PH,77.52,overcast clouds,7.9986,124.2928,Derogongan Residence
110,Garissa,KE,77.38,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
116,Lazaro Cardenas,MX,77.97,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
117,Ambanja,MG,78.73,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
122,La Asuncion,VE,82.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
123,Portel,BR,75.0,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
132,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
137,Kirakira,SB,84.63,overcast clouds,-10.4544,161.9205,SanBiz Lodge
143,Gao,ML,75.6,clear sky,16.6362,1.637,
148,Sorong,ID,85.12,broken clouds,-0.8833,131.25,Waigo Splash Hotel
153,Bilara,IN,86.88,few clouds,26.1792,73.7056,NAVRAJ CHOUDHARY BILAR
162,Puerto Carreno,CO,76.78,broken clouds,6.189,-67.4859,Casa Hotel Victoria
164,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
165,Tessalit,ML,75.88,broken clouds,20.1986,1.0114,
167,Bengkulu,ID,81.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
168,Negombo,LK,84.25,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
169,Takoradi,GH,75.99,scattered clouds,4.8845,-1.7554,Raybow International Hotel
175,Palauig,PH,81.0,overcast clouds,15.435,119.9045,Villa Raphael Resort
176,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
179,Labuhan,ID,85.75,light rain,-6.8844,112.2051,DoubleFAG
180,Beloha,MG,78.48,clear sky,-25.1667,45.05,
188,Victoria,HK,80.96,broken clouds,22.2855,114.1577,Mini Central
191,Kawalu,ID,78.71,overcast clouds,-7.3817,108.2082,West Jontor
193,Shenzhen,CN,82.26,broken clouds,22.5455,114.0683,Grand Skylight
194,Yaqui,MX,79.0,clear sky,27.3667,-110.1667,
197,Mahajanga,MG,75.22,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
199,Lorengau,PG,86.0,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
212,Ende,ID,87.4,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
213,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
222,Kieta,PG,84.87,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
223,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
224,Acapulco,MX,77.88,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
226,Sambhal,IN,79.21,clear sky,28.5833,78.55,Kaif saifi
